"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"기타","사무·문구","계",14,9,9,10,11,28,26,18,30,28,38,28,35,36,26,29,34,30,26,30,32,25,16,22,45
"기타","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0
"기타","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,35,36,26,29,33,30,26,30,32,25,16,22,45
"기타","음반·비디오·악기","계",769,558,540,617,507,590,620,671,331,230,127,261,248,175,252,252,328,300,327,320,307,372,244,336,354
"기타","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"기타","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,248,175,252,252,328,300,327,320,307,372,244,336,354
"기타","의류 및 패션관련 상품","계",3031,2573,2070,2009,1640,1800,1772,2036,1727,1512,1321,1358,1602,1327,4730,6728,7122,6874,8385,1520,1520,1827,1254,1708,1161
"기타","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,807,635,3508,6047,6132,5856,7505,213,248,301,253,302,38
"기타","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,795,692,1222,681,990,1018,880,1307,1272,1526,1001,1406,1123
"기타","스포츠·레저용품","계",368,292,243,243,221,209,178,213,193,129,99,122,130,114,100,124,184,165,124,131,151,139,90,120,96
"기타","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0,0,0,0,0,0,0,0
"기타","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,128,112,100,124,184,165,124,131,151,139,90,120,96
"기타","화장품","계",6141,5895,5289,5812,6280,7965,9041,11414,14872,13524,16354,13829,25530,22582,32228,22189,21055,18175,19957,17246,25189,27862,21820,17315,17720
"기타","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,23437,20606,14996,20305,18457,15760,17868,13865,21191,23694,18620,12513,14670
